ride_id,user_id,started,finished
145,61,1,0.7
146,61,1,0.78
252,61,1,0.48
119,190,1,1
139,190,1,0.85
105,58,1,1
106,58,1,1
107,58,1,1
108,58,1,1
112,58,1,1
114,58,1,1
116,58,1,1
118,58,1,0.41
119,58,1,1
121,58,1,1
123,58,1,1
124,58,1,1
128,58,1,1
131,58,1,1.05
134,58,1,1
135,58,1,0.82
137,58,1,1
138,58,1,1.19
141,58,1,1.58
252,58,1,0.51
106,193,1,1
112,193,1,1
128,193,1,1
130,193,1,1
250,193,1,0.13
131,193,1,1.05
134,193,1,1
135,193,1,1.39
141,193,1,1
106,205,1,1
109,207,1,0.84
112,207,1,1
114,207,1,1
134,207,1,2.4
138,207,1,1
111,208,1,0.82
108,360,1,1
126,360,1,1
127,360,1,1
105,13,1,1
106,13,1,1
107,13,1,1
108,13,1,1
109,13,1,1
112,13,1,1
113,13,1,0.25
116,13,1,0.36
119,13,1,0.68
124,13,1,1
128,13,1,0.45
131,13,1,1.05
132,13,1,1
133,13,1,1
134,13,1,1
135,13,1,1
137,13,1,1
138,13,1,1.46
141,13,1,1
142,13,1,1
145,13,1,1
252,13,1,1
105,216,1,1
106,216,1,1
107,216,1,1
108,216,1,1
109,216,1,1
110,216,1,1
111,216,1,1
112,216,1,1
113,216,1,0.84
114,216,1,1
116,216,1,1
118,216,1,0.94
119,216,1,1
121,216,1,1
122,216,1,1
124,216,1,1
126,216,1,1
128,216,1,1
134,216,1,2.4
135,216,1,1
136,216,1,1
138,216,1,1
144,216,1,0.32
252,216,1,0.63
105,72,1,1
106,72,1,1
108,72,1,1.1
109,72,1,0.77
110,72,1,1
111,72,1,1
112,72,1,1
113,72,1,1
114,72,1,1
118,72,1,0.65
121,72,1,1
122,72,1,1
124,72,1,1.28
126,72,1,1
127,72,1,1
128,72,1,1
250,72,1,0.82
135,72,1,1
138,72,1,1
141,72,1,1
142,72,1,1
145,72,1,1
252,72,1,0.77
105,217,1,1
109,217,1,1
112,217,1,1
113,217,1,0.92
116,217,1,1
124,217,1,1
126,217,1,1
131,217,1,1.05
252,217,1,0.3
105,76,1,1
106,76,1,1
107,76,1,1
108,76,1,1
109,76,1,1
110,76,1,0.87
111,76,1,1
112,76,1,1
114,76,1,1
116,76,1,1
117,76,1,1
122,76,1,1
123,76,1,1
124,76,1,1.28
126,76,1,1
128,76,1,1
130,76,1,0.34
250,76,1,0.41
131,76,1,1.05
134,76,1,1
135,76,1,1
136,76,1,1
137,76,1,1
138,76,1,1.5
140,76,1,1
142,76,1,1
145,76,1,1
146,76,1,1
252,76,1,0.81
105,221,1,1
106,224,1,1
110,224,1,1
111,224,1,1
122,228,1,1
126,228,1,1
107,229,1,1
112,230,1,1
113,230,1,1.08
105,18,1,1
112,18,1,1
113,18,1,1
114,18,1,1
116,18,1,0.36
118,18,1,0.29
126,18,1,1
138,18,1,1
106,234,1,1
107,234,1,1
118,234,1,1
121,234,1,1
122,234,1,1
125,234,1,1
126,234,1,1
127,234,1,1
250,234,1,0.99
131,234,1,1.05
134,234,1,1
135,234,1,0.51
136,234,1,1
143,234,1,0.53
252,234,1,0.49
126,238,1,1
112,105,1,1
115,105,1,1
118,105,1,0.2
124,105,1,1
130,105,1,0.34
250,105,1,0.82
135,105,1,0.82
136,105,1,1
137,105,1,1
139,105,1,0.85
143,105,1,0.53
144,105,1,0.81
145,105,1,1
252,105,1,0.52
106,246,1,1
122,246,1,1
123,246,1,1
124,246,1,1
136,246,1,1
141,246,1,1
107,253,1,1
106,254,1,1
107,254,1,1
108,254,1,1
110,254,1,1
122,254,1,1
126,254,1,1
128,254,1,1
129,254,1,1
131,254,1,0.92
134,254,1,1
135,254,1,0.82
138,254,1,1
142,254,1,0.54
145,254,1,1
146,254,1,1
252,254,1,0.45
105,255,1,1
106,110,1,1
107,110,1,1
108,110,1,1
109,110,1,1
110,110,1,1
111,110,1,1
112,110,1,1
113,110,1,1
114,110,1,1
107,266,1,1
108,266,1,1
114,266,1,1
145,266,1,0.7
111,44,1,0.53
114,44,1,1
116,44,1,1
122,44,1,1
134,44,1,1
136,44,1,0.68
137,44,1,1
106,269,1,1
111,269,1,1
114,269,1,1
107,270,1,1
110,270,1,0.98
116,270,1,1
118,270,1,0.63
119,270,1,1
123,270,1,1
126,270,1,1
128,270,1,1
141,270,1,0.91
143,270,1,0.53
105,271,1,1
106,271,1,1
107,271,1,1
108,271,1,1
109,271,1,1
110,271,1,1
111,271,1,1
112,271,1,1
113,271,1,1
114,271,1,1
115,271,1,1
116,271,1,1
134,271,1,1
